sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24H超市(苏州东吴北路店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,64.8,10.0,4011916171865690788
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24H超市(苏州东吴北路店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,64.8,10.0,4011916171865703995
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24H超市(苏州东吴北路店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,-64.8,-10.0,4011916171865703995
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二·酒水外卖(景洪曼斗店),风花雪月,风花雪月500ml罐装12箱装,风花雪月500ml罐装12箱装,【品牌联盟券】6月深夜小酒馆38-8,69.0,8.0,4012010338403163865
bill,taobao,淘宝闪购,2026-06-08,CIB华南,酒小二,酒类专营店,酒小二,酒小二(贵港大西南店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,【品牌联盟券】6月深夜小酒馆38-8,65.0,8.0,4012030338068526822
bill,taobao,淘宝闪购,2026-06-08,CIB华南,酒小二,酒类专营店,酒小二,酒小二(深圳新洲店),乌苏,红乌苏620ml大瓶装6箱装,乌苏啤酒620ml*6瓶/箱,6月嘉士伯超级品牌券39-10新供给,51.0,7.0,4012060338171864577
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,酒小二,酒类专营店,酒小二,酒小二(贵阳未来方舟店),乐堡,乐堡啤酒500ml大罐装12箱装,乐堡 啤酒500ml大罐装12箱装,【品牌联盟券】6月深夜小酒馆38-8,85.0,8.0,4012090338141643504
bill,taobao,淘宝闪购,2026-06-08,CIB东南,酒小二,酒类专营店,酒小二,酒小二·啤酒红酒洋酒(杭州景芳店),K1664,1664桃红500ml罐装12箱装,法式1664啤酒桃红玫瑰覆盆子果香味小麦风味500ml*12果酒整箱,6月嘉士伯超级品牌券99-35新供给,159.0,20.0,4012140338069963369
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24h超市(马鞍山含山店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,72.0,10.0,4012210337983829735
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,酒小二,酒类专营店,酒小二,酒小二(徐州鼎瑞雅居店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,【品牌联盟券】6月深夜小酒馆38-8,63.0,8.0,4012230338153754365
